,Course,SectionID,Name,TNUM,GR,School,Type,Year,GlimpsestudentId,DistrictID,ScantronMathPostTest,ScantronReadingPostTest
289,100028,100028.002,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,50268.0,18,2841.0,2887.0
290,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45131.0,18,2896.0,2966.0
291,100028,100028.002,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45280.0,18,2759.0,2860.0
292,100028,100028.002,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,51058.0,18,2629.0,2767.0
293,100028,100028.001,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45300.0,18,2639.0,2678.0
294,100028,100028.003,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45300.0,18,2639.0,2678.0
295,100028,100028.003,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45268.0,18,2801.0,3013.0
296,100028,100028.003,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45138.0,18,2470.0,2762.0
297,100028,100028.001,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,50242.0,18,2602.0,2729.0
298,100028,100028.002,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,50242.0,18,2602.0,2729.0
299,100028,100028.001,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45318.0,18,2658.0,2806.0
300,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,51248.0,18,2923.0,3137.0
301,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,51234.0,18,2902.0,3171.0
302,100028,100028.002,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,96293.0,18,2943.0,2970.0
303,100028,100028.003,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,50326.0,18,2610.0,2595.0
304,100028,100028.003,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,50620.0,18,2384.0,2566.0
305,100028,100028.001,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45326.0,18,2681.0,2900.0
306,100028,100028.002,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45260.0,18,2726.0,2619.0
307,100028,100028.001,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45282.0,18,2614.0,2719.0
309,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45242.0,18,3048.0,3317.0
310,100028,100028.003,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45186.0,18,2571.0,2686.0
312,100028,100028.002,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45118.0,18,2755.0,3034.0
313,100028,100028.003,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45285.0,18,2836.0,2907.0
314,100028,100028.003,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,48756.0,18,1941.0,2064.0
315,100028,100028.001,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,50251.0,18,2425.0,2497.0
316,100028,100028.001,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45253.0,18,2385.0,2278.0
317,100028,100028.002,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45289.0,18,2762.0,2908.0
318,100028,100028.001,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,96295.0,18,2727.0,2688.0
319,100030ab,100030ab.001,ELAGrPK6H/Ad,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45302.0,18,2955.0,3204.0
320,100028,100028.002,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45270.0,18,2806.0,3091.0
321,100028,100028.003,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45307.0,18,2776.0,2825.0
322,100028,100028.001,English LA 6,ST1443,6,HOLTVILLE MIDDLE SCHOOL,LANGUAGE ARTS,2018,45179.0,18,2572.0,2703.0
323,230001,230001.006,Geog Gr7,ST1523,7,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,45193.0,18,2753.0,2958.0
324,230003,230003.006,CivicsGr 7,ST1523,7,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,45193.0,18,2753.0,2958.0
325,230011,230011.005,WH to 1500 8,ST1523,8,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,50106.0,18,2745.0,2879.0
326,230011,230011.005,WH to 1500 8,ST1523,8,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,49962.0,18,2712.0,2996.0
329,230001,230001.006,Geog Gr7,ST1523,7,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,45311.0,18,2719.0,3018.0
330,230003,230003.006,CivicsGr 7,ST1523,7,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,45311.0,18,2719.0,3018.0
331,230011,230011.005,WH to 1500 8,ST1523,8,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,50888.0,18,2772.0,2804.0
332,230001,230001.006,Geog Gr7,ST1523,7,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,45194.0,18,2920.0,2460.0
333,230003,230003.006,CivicsGr 7,ST1523,7,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,45194.0,18,2920.0,2460.0
334,230011,230011.006,WH to 1500 8,ST1523,8,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,49905.0,18,2727.0,2798.0
335,230001,230001.006,Geog Gr7,ST1523,7,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,49440.0,18,2776.0,3245.0
336,230003,230003.006,CivicsGr 7,ST1523,7,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,49440.0,18,2776.0,3245.0
337,230011,230011.005,WH to 1500 8,ST1523,8,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,50046.0,18,2811.0,2757.0
338,230011,230011.006,WH to 1500 8,ST1523,8,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,50092.0,18,2627.0,2857.0
339,230011,230011.005,WH to 1500 8,ST1523,8,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,49568.0,18,2809.0,2853.0
340,230011,230011.005,WH to 1500 8,ST1523,8,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,48778.0,18,2722.0,3134.0
341,230011,230011.005,WH to 1500 8,ST1523,8,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,49574.0,18,2989.0,2946.0
342,230001,230001.005,Geog Gr7,ST1523,7,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,45180.0,18,2834.0,3091.0
343,230003,230003.005,CivicsGr 7,ST1523,7,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,45180.0,18,2834.0,3091.0
344,230011,230011.005,WH to 1500 8,ST1523,8,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,50134.0,18,2755.0,2866.0
345,230001,230001.005,Geog Gr7,ST1523,7,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,45202.0,18,2632.0,2663.0
346,230003,230003.005,CivicsGr 7,ST1523,7,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,45202.0,18,2632.0,2663.0
349,230001,230001.006,Geog Gr7,ST1523,7,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,45205.0,18,2678.0,3024.0
350,230003,230003.006,CivicsGr 7,ST1523,7,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,45205.0,18,2678.0,3024.0
351,230011,230011.006,WH to 1500 8,ST1523,8,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,96301.0,18,3018.0,3010.0
352,230001,230001.006,Geog Gr7,ST1523,7,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,45200.0,18,2848.0,3001.0
353,230003,230003.006,CivicsGr 7,ST1523,7,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,45200.0,18,2848.0,3001.0
354,230011,230011.005,WH to 1500 8,ST1523,8,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,96299.0,18,3017.0,2972.0
355,230001,230001.006,Geog Gr7,ST1523,7,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,45163.0,18,2741.0,2853.0
356,230003,230003.006,CivicsGr 7,ST1523,7,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,45163.0,18,2741.0,2853.0
357,230011,230011.006,WH to 1500 8,ST1523,8,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,49610.0,18,2843.0,2788.0
358,230011,230011.006,WH to 1500 8,ST1523,8,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,49559.0,18,2970.0,3435.0
359,230001,230001.005,Geog Gr7,ST1523,7,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,45206.0,18,2993.0,3024.0
360,230003,230003.005,CivicsGr 7,ST1523,7,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,45206.0,18,2993.0,3024.0
361,230011,230011.006,WH to 1500 8,ST1523,8,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,49650.0,18,2658.0,3056.0
362,230011,230011.005,WH to 1500 8,ST1523,8,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,49569.0,18,2751.0,2745.0
363,230011,230011.005,WH to 1500 8,ST1523,8,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,49573.0,18,2845.0,2901.0
364,230011,230011.006,WH to 1500 8,ST1523,8,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,49585.0,18,3067.0,3379.0
365,230011,230011.006,WH to 1500 8,ST1523,8,HOLTVILLE MIDDLE SCHOOL,SOCIAL STUDIES,2018,49595.0,18,2803.0,3082.0
